id	x	y	cluster	weight<Links>	weight<Total link strength>
Univ Pierre & Marie Curie	-0.4118	0.4339	6	19	1468
Univ Pisa	-0.2104	0.2196	5	4	204
Univ Plymouth	-0.2361	-0.601	4	2	58
Univ Pretoria	-0.2218	0.0131	9	7	250
Univ Quebec	-0.8554	-0.6285	8	1	26
Univ Queensland	0.1518	0.312	16	2	82
Univ Reading	-0.6349	-0.8508	4	1	36
Univ Rhode Island	0.5053	-0.0778	3	3	64
Univ S Florida	0.2822	0.0051	1	10	284
Univ Sao Paulo	-0.6422	0.5645	6	1	24
Univ Sci & Technol China	2.4866	0.2332	11	2	66
Univ Sheffield	-0.2415	-0.5271	2	2	92
Univ Siena	-0.1806	0.1886	5	13	422
Univ Southampton	-0.0398	-0.2485	4	33	1732
Univ Southern California	0.6121	-0.1013	3	1	30
Univ St Andrews	0.2219	-0.1413	13	8	266
Univ Stockholm	-0.4016	0.1006	12	1	74
Univ Sydney	0.039	0.345	16	1	34
Univ Tasmania	0.0071	0.2129	16	65	4266
Univ Texas	0.3488	-0.1081	2	21	1184
Univ Texas Austin	0.3419	-0.1075	2	20	1068
Univ Tokyo	-0.0145	0.5155	15	6	294
Univ Toulouse	-0.4832	0.5531	6	3	124
Univ Tromso	-0.3326	-0.0985	9	4	90
Univ Utrecht	-0.2011	-0.1891	9	37	1240
Univ Waikato	-0.0436	-0.0593	14	11	312
Univ Wales	-0.416	-0.4513	2	3	112
Univ Washington	0.3967	-0.1022	1	38	1572
Univ Western Australia	0.298	0.0119	2	4	108
Univ Wisconsin	0.4647	-0.0973	1	15	702
Univ Wisconsin Madison	0.4704	-0.0983	1	9	528
Vernadsky Inst Geochem & Analyt Chem - RAS	-1.5212	0.7931	10	2	90
Victoria Univ Wellington	0.1758	-0.0262	5	32	1202
Vrije Univ Amsterdam	-0.507	0.5116	6	2	48
Woods Hole Oceanog Inst	0.5507	-0.0954	3	36	1340
Zoo Inst - RAS	-1.5054	0.7843	10	1	52
