id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<number of doc>	weight<degree centrality>	weight<closeness centrality>	weight<betweenness centrality>	weight<pagerank centrality>	score<number of doc>	score<degree centrality>	score<closeness centrality>	score<betweenness centrality>	score<pagerank centrality>
Natl Inst Adv Ind Sci & Technol AIST - Japan	-0.0942	0.7495	15	1	42	136	2	0.00119617224880383	0	0.000948491103380337	136	2	0.00119617224880383	0	0.000948491103380337
Natl Inst Earth Sciences & Astronomy - CNRS	-0.4383	0.4462	6	23	1552	1468	46	0.00172413793103448	225.988106339034	0.00823348558604205	1468	46	0.00172413793103448	225.988106339034	0.00823348558604205
Natl Inst Water & Atmospher Res NIWA	0.0065	0.0672	5	17	646	642	34	0.00173611111111111	93.9712966137809	0.00588105094966495	642	34	0.00173611111111111	93.9712966137809	0.00588105094966495
Natl Marine Fisheries Serv - US	0.8893	0.0214	3	1	66	401	2	0.00125786163522013	0	0.000887527885576988	401	2	0.00125786163522013	0	0.000887527885576988
Natl Oceanog Ctr - UK	-0.0539	-0.2941	4	8	660	642	16	0.0016750418760469	14.5347975997433	0.00316205038253514	642	16	0.0016750418760469	14.5347975997433	0.00316205038253514
Natural Environment Research Council NERC	-0.3468	-0.4948	2	4	460	574	8	0.00156985871271586	4.96391941391941	0.0019035413370974	574	8	0.00156985871271586	4.96391941391941	0.0019035413370974
Natural History Museum London	-0.6562	-0.6334	8	4	122	425	8	0.00150602409638554	131.173374613003	0.00280518415414923	425	8	0.00150602409638554	131.173374613003	0.00280518415414923
Newcastle Univ	-0.1184	-0.3864	2	8	286	438	16	0.00159489633173844	2.24549838728598	0.00301895562091064	438	16	0.00159489633173844	2.24549838728598	0.00301895562091064
Niels Bohr Inst	-0.2943	0.162	12	13	652	636	26	0.00169779286926995	8.98744745221207	0.00456195582369313	636	26	0.00169779286926995	8.98744745221207	0.00456195582369313
Norwegian Inst Marine Res	-0.6421	-0.8387	4	1	26	1453	2	0.00149700598802395	0	0.000912704476332438	1453	2	0.00149700598802395	0	0.000912704476332438
Ohio State Univ	0.3656	-0.0833	1	33	1184	1810	66	0.00183150183150183	713.61110386204	0.0112330635449638	1810	66	0.00183150183150183	713.61110386204	0.0112330635449638
Old Dominion Univ	0.4618	-0.0979	13	5	134	555	10	0.00155763239875389	0.46772068511199	0.00212081477993452	555	10	0.00155763239875389	0.46772068511199	0.00212081477993452
Open Univ	-0.6116	-0.8662	4	1	82	247	2	0.00149700598802395	0	0.000912704476332438	247	2	0.00149700598802395	0	0.000912704476332438
Oregon State Univ	0.3026	-0.0316	1	26	812	1508	52	0.00183150183150183	272.763764325302	0.00862773964809475	1508	52	0.00183150183150183	272.763764325302	0.00862773964809475
PRIC	2.8578	0.2877	11	5	150	412	10	0.00133868808567604	117.062254707535	0.00417240652159949	412	10	0.00133868808567604	117.062254707535	0.00417240652159949
Penn State Univ	0.4333	-0.0782	1	22	798	1058	44	0.00167224080267559	81.9678282739037	0.00720987765794007	1058	44	0.00167224080267559	81.9678282739037	0.00720987765794007
Plymouth Marine Lab	-0.2314	-0.5921	4	4	132	237	8	0.00152905198776758	2.88535353535353	0.00206341401053173	237	8	0.00152905198776758	2.88535353535353	0.00206341401053173
