id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<total WOS DB cate prop>	score<total WOS DB cate avg.year>	weight<total polar cate prop>	score<total polar avg.year>	weight<USA cate prop>	score<USA cate avg.year>	weight<UK cate prop>	score<UK cate avg.year>	weight<Germany cate prop>	score<Germany cate avg.year>	weight<Canada cate prop>	score<Canada cate avg.year>	weight<Norway cate prop>	score<Norway cate avg.year>	weight<Russia cate prop>	score<Russia cate avg.year>	weight<France cate prop>	score<France cate avg.year>	weight<Peoples R China cate prop>	score<Peoples R China cate avg.year>	weight<Australia cate prop>	score<Australia cate avg.year>	weight<Japan cate prop>	score<Japan cate avg.year>	weight<Denmark cate prop>	score<Denmark cate avg.year>	weight<Sweden cate prop>	score<Sweden cate avg.year>	weight<Italy cate prop>	score<Italy cate avg.year>	weight<Netherlands cate prop>	score<Netherlands cate avg.year>	weight<Spain cate prop>	score<Spain cate avg.year>	weight<Finland cate prop>	score<Finland cate avg.year>	weight<Switzerland cate prop>	score<Switzerland cate avg.year>	weight<New Zealand cate prop>	score<New Zealand cate avg.year>	weight<South Korea cate prop>	score<South Korea cate avg.year>	weight<Poland cate prop>	score<Poland cate avg.year>	weight<AWI cate prop>	score<AWI cate avg.year>	weight<BAS cate prop>	score<BAS cate avg.year>	weight<NOAA cate prop>	score<NOAA cate avg.year>	weight<NIPR cate prop>	score<NIPR cate avg.year>	weight<AAD cate prop>	score<AAD cate avg.year>	weight<NPI cate prop>	score<NPI cate avg.year>	weight<KOPRI cate prop>	score<KOPRI cate avg.year>	weight<AARI cate prop>	score<AARI cate avg.year>	weight<PRIC cate prop>	score<PRIC cate avg.year>
Psychology, Mathematical	0.4598	-0.0733	7	253	35.8332	0.0209630844747267	2006.14294098468	0.000665761231391978	2004.33333333333	0.000582353523529996	1997	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.00308641975308642	2015	0	1990	0	1990	0	1990	0	1990	0.00950570342205323	2001	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.0150353330326267	2015	0	1990	0	1990	0	1990	0	1990
Psychology, Multidisciplinary	0.6606	0.062	7	253	48.4416	0.359091124790125	2008.0037194345	0.0403451306223539	2005.54128440367	0.0433853375029847	2002.92682926829	0.0220250456233088	2010.14285714286	0.00140801441806764	2005	0.0627240143369176	2004.68	0.0994330202250993	2009.05	0.0174228169210398	2005.33333333333	0.0291861240827218	2005.42857142857	0	1990	0.0462962962962963	2004.88888888889	0.0151308821304282	2009.5	0.0122354092744402	2014	0	1990	0	1990	0.0475285171102661	2009.33333333333	0.0102901831652603	2003	0.0491228070175439	2007.33333333333	0	1990	0.0582479030754893	2000.25	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.04510599909788	1995	0	1990	0	1990	0	1990	0	1990
Psychology, Psychoanalysis	0.8293	0.151	7	253	8.2908	0.0389107646532756	2004.38767666749	0.000570652484050267	1999	0	1990	0	1990	0	1990	0	1990	0.00634678852500634	1999	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
Psychology, Social	0.8021	-0.0316	7	253	26.6838	0.196985858938181	2006.91742222772	0.00798913477670374	2006.77777777778	0.0119382472323649	2008.25	0.00818073123151471	2011.33333333333	0	1990	0.00853387950162144	2004.25	0.0126935770500127	2005	0	1990	0.00833889259506338	2004	0.0090917356123284	2016	0	1990	0.0113481615978212	2000	0	1990	0	1990	0	1990	0.0190114068441065	2014	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.0431406384814495	2000	0	1990	0	1990	0	1990	0	1990	0	1990
Public Administration	0.7786	-0.3822	1	253	29.8114	0.0724850351628056	2007.54494167666	0.00413723050936444	2010.61538461538	0.00698824228235995	2008.85714285714	0.00377572210685294	2006	0.00105601081355073	2017	0.00853387950162144	2016.5	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.00611770463722012	2011	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.00966557123526	1999	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
Public, Environmental & Occupational Health	0.3984	0.4068	2	253	54.4978	1.02685360594233	2008.91667029994	0.732441974153251	2009.90812720848	0.492263433439906	2008.68735083532	0.178843370461268	2007.94047619048	0.123342063022725	2009.52173913044	1.97466860101269	2011.43986254296	1.90879664889566	2009.98433420366	0.547657211884685	2011.51960784314	0.141761174116077	2011.03333333333	0.105312604176137	2013.375	0.232253086419753	2011.13157894737	0.2093735814798	2003.83333333333	2.6457033321098	2010.48905109489	1.30499869825566	2010.98484848485	0.277868141400998	2007.61538461538	0.239226869455006	2011.4347826087	0.226384029635728	2013.5	1.23333333333333	2010.91666666667	0.218240802182408	2011.21428571429	0.128145386766076	2004.625	0.0769467528470299	2009.2	0.300447940565935	2010.9375	0.00958129730765547	2011	0.107915474577122	2008.85714285714	0.01933114247052	2009.5	0.143802128271498	2012.83333333333	0.0939708314539166	2008.75	0.529889054479218	2010	0	1990	0	1990	0.147275405007364	2012
Quantum Science & Technology	-0.9566	-0.3919	3	253	42.6797	0.0403935684943145	2006.85646465707	0.00147418558379652	2007.1	0.00218382571323749	2008.4	0.000943930526713236	2004	0.00105601081355073	2013	0.00213346987540536	2016	0	1990	0.00232304225613864	2003	0	1990	0.0068188017092463	2006.66666666667	0	1990	0	1990	0	1990	0	1990	0	1990	0.00475285171102661	2004	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
Radiology, Nuclear Medicine & Medical Imaging	0.0292	0.5527	2	253	25.2632	0.891915644061588	2007.25696897799	0.0226073492431248	2005.16666666667	0.0113558937088349	2004.46666666667	0.0110125228116544	2004.22222222222	0.0601926163723916	2010.04347826087	0.0035557831256756	2003.66666666667	0.038080731150038	2005.4	0.0304318535554162	2005	0.00416944629753169	1999	0.0090917356123284	2010	0.00617283950617284	2004	0.019859282796187	2007.83333333333	0.032627758065174	2004.28571428571	0.00325436084353033	1997	0.0338863587074387	2006.25	0.00950570342205323	1999	0.0274404884406943	2001	0.0263157894736842	2001.8	0.040551500405515	2004.33333333333	0	1990	0	1990	0	1990	0.0838363514419854	2010.33333333333	0.00752898659840386	2018	0	1990	0.0359505320678746	2009	0	1990	0	1990	0	1990	0	1990	0	1990
Regional & Urban Planning	0.538	-0.3907	1	253	44.1028	0.054654441530819	2006.94068535554	0.0132010941310295	2010.75757575758	0.00990000990000993	2008.21052631579	0.00188786105342647	2014	0.00316803244065219	2017.5	0.0134408602150538	2010.45454545455	0.033003300330033	2011	0.00696912676841593	2018.33333333333	0	1990	0	1990	0.00925925925925926	2012	0	1990	0.0407846975814675	2011	0.0318927362665973	2012.875	0	1990	0.0190114068441065	2018.33333333333	0	1990	0.0333333333333333	2007.8	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0.00966557123526	2012	0	1990	0.02255299954894	2015	0	1990	0	1990	0	1990	0	1990
Rehabilitation	0.5189	0.4088	2	253	38.1297	0.243778421353007	2008.83460112571	0.00565897046683182	2008.41176470588	0.00931765637647994	2005.71428571429	0	1990	0	1990	0.0128008192524322	2010	0.00528899043750528	2010	0	1990	0	1990	0	1990	0	1990	0	1990	0.00305885231861006	2018	0	1990	0	1990	0	1990	0.0102901831652603	2005	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
