id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<total whole period>	score<total avg.year>	weight<USA antarctic region prop>	score<USA antarctic region avg.year>	weight<UK antarctic region prop>	score<UK antarctic region avg.year>	weight<Germany antarctic region prop>	score<Germany antarctic region avg.year>	weight<Canada antarctic region prop>	score<Canada antarctic region avg.year>	weight<Norway antarctic region prop>	score<Norway antarctic region avg.year>	weight<Russia antarctic region prop>	score<Russia antarctic region avg.year>	weight<France antarctic region prop>	score<France antarctic region avg.year>	weight<Peoples R China antarctic region prop>	score<Peoples R China antarctic region avg.year>	weight<Australia antarctic region prop>	score<Australia antarctic region avg.year>	weight<Japan antarctic region prop>	score<Japan antarctic region avg.year>	weight<Denmark antarctic region prop>	score<Denmark antarctic region avg.year>	weight<Sweden antarctic region prop>	score<Sweden antarctic region avg.year>	weight<Italy antarctic region prop>	score<Italy antarctic region avg.year>	weight<Netherlands antarctic region prop>	score<Netherlands antarctic region avg.year>	weight<Spain antarctic region prop>	score<Spain antarctic region avg.year>	weight<Finland antarctic region prop>	score<Finland antarctic region avg.year>	weight<Switzerland antarctic region prop>	score<Switzerland antarctic region avg.year>	weight<New Zealand antarctic region prop>	score<New Zealand antarctic region avg.year>	weight<South Korea antarctic region prop>	score<South Korea antarctic region avg.year>	weight<Poland antarctic region prop>	score<Poland antarctic region avg.year>	weight<AWI antarctic region prop>	score<AWI antarctic region avg.year>	weight<BAS antarctic region prop>	score<BAS antarctic region avg.year>	weight<NOAA antarctic region prop>	score<NOAA antarctic region avg.year>	weight<NIPR antarctic region prop>	score<NIPR antarctic region avg.year>	weight<AAD antarctic region prop>	score<AAD antarctic region avg.year>	weight<NPI antarctic region prop>	score<NPI antarctic region avg.year>	weight<KOPRI antarctic region prop>	score<KOPRI antarctic region avg.year>	weight<AARI antarctic region prop>	score<AARI antarctic region avg.year>	weight<PRIC antarctic region prop>	score<PRIC antarctic region avg.year>
scott glacier	0.8007	-0.3198	5	7	16	0.0179009819967267	2002.14285714286	0.0447193858537676	2001.66666666667	0	1992	0	1992	0	1992	0	1990.5	0	1993	0	1991	0	1996.5	0	1994	0.0634920634920635	2005	0	1996	0	1991	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
scott island	0.2372	0.2498	12	4	12	0.0153436988543372	2012.83333333333	0	1991	0.0121847203606677	2013	0.0187300992695261	2005	0	1992	0	1990.5	0	1993	0	1991	0	1996.5	0	1994	0	1991	0	1996	0	1991	0.0324886289798571	2011	0	1992	0.0459136822773186	2019	0	1992	0	1995	0.179662234998203	2011.6	0	1992	0	1995	0.0386100386100386	2005	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
seal island	-1.1468	9e-04	7	2	8	0.0383592471358429	1998.93333333333	0.104345233658791	1999.07142857143	0	1992	0	1992	0	1992	0	1990.5	0	1993	0	1991	0	1996.5	0	1994	0.126984126984127	2002	0	1996	0	1991	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0	1990	1.63551401869159	1999.07142857143	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
seymour island	-0.6234	-0.0555	4	24	200	0.465425531914894	2008.75824175824	0.424834165610792	2005.85964912281	0.414280492262703	2007.44117647059	0.0936504963476306	2009.8	0.0737463126843658	2017	0	1990.5	0	1993	0.121469784391133	2008	0	1996.5	0.155400155400155	2012.5	0.126984126984127	1995	1.31332082551595	2007.71428571429	1.89309576837417	2016.05882352941	0	1995	0.156494522691706	2009.5	0.0918273645546373	2004.5	0	1992	0	1995	0.251527128997485	2008.85714285714	0.10593220338983	2005	2.04479065238559	2009.47619047619	0	1990	0.388627531192473	2008.94736842105	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
shackleton glacier	0.7554	-0.3086	5	12	26	0.0460310965630115	2007.94444444444	0.119251695610047	2007.125	0.0121847203606677	2003	0	1992	0.147492625368732	2014.5	0	1990.5	0	1993	0	1991	0	1996.5	0.0194250194250194	2008	0	1991	0	1996	0	1991	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
shackleton ice shelf	0.6393	0.1154	1	9	11	0.0102291325695581	2011.75	0.00745323097562794	2006	0	1992	0	1992	0	1992	0	1990.5	0	1993	0	1991	0.0646412411118293	2018	0.0388500388500388	2011.5	0	1991	0	1996	0	1991	0.0324886289798571	2010	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0	1990	0	1990	0	1990	0.127388535031847	2011.5	0	1990	0	1990	0	1990	0	1990
shag rocks	-0.5682	0.1848	4	23	72	0.132978723404255	2006.63461538462	0.0521726168293955	2007.71428571429	0.450834653344706	2006.62162162162	0.0749203970781045	2004.25	0.0737463126843658	1999	0	1990.5	0.178412132024978	2004.5	0.0303674460977832	2008	0	1996.5	0.0582750582750583	2010.66666666667	0	1991	0	1996	0	1991	0.0974658869395711	2010.33333333333	0	1992	0.0918273645546373	2006	0	1992	0	1995	0.0359324469996407	2012	0	1992	0.194741966893866	2004	0.0386100386100386	2014	0.654530578850481	2006.34375	0.116822429906542	2008	0	1990	0.0636942675159236	2002	0	1990	0	1990	0	1990	0	1990
shirase glacier	0.9508	0.2519	1	5	15	0.0281301145662848	2009.27272727273	0.00745323097562794	2014	0.0121847203606677	2017	0.0187300992695261	2014	0	1992	0.100502512562814	2014	0	1993	0.0303674460977832	2014	0	1996.5	0	1994	0.507936507936508	2010.875	0	1996	0	1991	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0.0386100386100386	2014	0.0204540805890775	2017	0	1990	0.934579439252336	2011.16666666667	0	1990	0.309597523219814	2014	0	1990	0	1990	0	1990
signy island	-0.7025	0.074	13	31	187	0.498670212765958	2002.95897435897	0.0670790787806514	2003.11111111111	2.08358718167418	2003.05263157895	0.131110694886683	2001.57142857143	0	1992	0.402010050251256	2002.75	0	1993	0.0303674460977832	2012	0.0646412411118293	2014	0.213675213675214	2006.18181818182	0.126984126984127	2003.5	0.187617260787992	2009	0.22271714922049	2013.5	0.227420402858999	2011.42857142857	0.625978090766823	2003.125	0.0459136822773186	2019	0.4	2017	0.474683544303798	2005.66666666667	0.179662234998203	2006.4	0	1992	0.292112950340798	2000	0.0772200772200772	2000	3.25219881366333	2002.80503144654	0.233644859813084	2001	0.155763239875389	2003	0.0636942675159236	1993	0	1990	0	1990	0	1990	0	1990
siple dome	0.5236	-0.3552	2	23	114	0.227598199672668	2005.23595505618	0.640977863904002	2005.3023255814	0.0731083221640063	2004.5	0.0374601985390523	2003.5	0	1992	0	1990.5	0	1993	0.0911023382933495	2006.66666666667	0.129282482223659	2005	0.0388500388500388	2008.5	0.0634920634920635	2012	0.375234521575985	2013	0.22271714922049	2011.5	0	1995	0.0782472613458529	2010	0.0459136822773186	2010	0	1992	0.158227848101266	2017	0.0359324469996407	2014	0.423728813559322	2015.5	0	1995	0.0386100386100386	2002	0.0818163223563101	2004	0.467289719626168	2006	0.155763239875389	2012	0.0636942675159236	2005	0	1990	0	1990	0	1990	0	1990
slessor glacier	0.3961	-0.3334	2	11	25	0.0255728314238953	2009.5	0.0223596929268838	2010.66666666667	0.0852930425246741	2010	0	1992	0.0737463126843658	2001	0.100502512562814	2018	0	1993	0	1991	0	1996.5	0.0194250194250194	2014	0.0634920634920635	2012	0.187617260787992	2018	0	1991	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0.122724483534465	2009.33333333333	0	1990	0.155763239875389	2012	0	1990	0.309597523219814	2018	0	1990	0	1990	0	1990
smith island	-0.9125	-0.1149	7	15	42	0.0281301145662848	1998.81818181818	0.0298129239025117	2001.5	0.0487388814426709	1999.5	0.0187300992695261	1992	0	1992	0.100502512562814	2014	0	1993	0	1991	0	1996.5	0	1994	0.0634920634920635	1997	0	1996	0	1991	0	1995	0.0782472613458529	1998	0.0459136822773186	1994	0	1992	0	1995	0	1991.5	0.10593220338983	1992	0	1995	0.0386100386100386	1992	0.040908161178155	1996	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
snares islands	0.1357	0.5213	9	8	33	0.0767184942716858	2008.56666666667	0.0149064619512559	2004	0.0121847203606677	2019	0.0374601985390523	2013	0.0737463126843658	2010	0	1990.5	0	1993	0.0303674460977832	2002	0	1996.5	0.0194250194250194	2019	0	1991	0.187617260787992	2015	0	1991	0	1995	0	1992	0	1994	0	1992	0	1995	0.970176068990298	2008.74074074074	0	1992	0.0973709834469328	2004	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
snow hill island	-0.6554	-0.0773	4	10	51	0.0741612111292962	2012.62068965517	0.0372661548781397	2014.6	0.0609236018033386	2004.4	0.0561902978085784	2017.66666666667	0	1992	0	1990.5	0	1993	0	1991	0	1996.5	0.0194250194250194	2014	0.0634920634920635	2019	0	1996	0.111358574610245	2018	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0.0818163223563101	2002.5	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
snow island	-1.0528	-0.0341	7	8	13	0.0153436988543372	1996.5	0.00745323097562794	1992	0.0365541610820032	1996	0	1992	0	1992	0	1990.5	0	1993	0.0303674460977832	1995	0	1996.5	0	1994	0	1991	0	1996	0	1991	0	1995	0	1992	0.0459136822773186	2004	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0.0613622417672326	1996	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
sobral peninsula	-0.7963	-0.113	4	2	3	0.00511456628477905	2000.5	0	1991	0.0243694407213354	2000.5	0	1992	0	1992	0	1990.5	0	1993	0	1991	0	1996.5	0	1994	0	1991	0	1996	0	1991	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0.040908161178155	2000.5	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
somov sea	0.512	0.2259	12	5	9	0.0153436988543372	2013.33333333333	0.0149064619512559	2018	0	1992	0	1992	0	1992	0	1990.5	0.356824264049955	2011	0	1991	0.129282482223659	2018	0	1994	0	1991	0	1996	0	1991	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
sorsdal glacier	0.0493	0.2487	1	9	18	0.0179009819967267	2007.57142857143	0.0149064619512559	2013.5	0	1992	0.0187300992695261	2011	0	1992	0.100502512562814	2016	0	1993	0	1991	0.0646412411118293	2011	0.0971250971250971	2009.2	0	1991	0	1996	0.111358574610245	1996	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
south bay_antarctic	-0.7879	0.1507	8	7	16	0.0204582651391162	2011.625	0	1991	0	1992	0.0374601985390523	2009	0	1992	0	1990.5	0	1993	0	1991	0	1996.5	0	1994	0.126984126984127	2016.5	0.187617260787992	2019	0	1991	0.0324886289798571	2002	0	1992	0.0918273645546373	2007.5	0.4	2019	0	1995	0	1991.5	0	1992	0	1995	0	1990	0	1990	0	1990	0.155763239875389	2014	0	1990	0	1990	0	1990	0	1990	0	1990
