id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<cluster size>
113	113	0.8746	-0.5165	1	203	45.5777	266
114	114	-0.3616	-0.1499	2	203	165.3523	555
115	115	0.4498	-0.0097	1	203	113.8635	385
116	116	0.7757	0.4799	1	203	124.1	395
117	117	-0.3516	0.4158	4	203	161.7887	801
118	118	0.9804	-0.5187	1	203	19.4222	207
119	119	0.8037	-0.2937	1	203	46.2162	373
120	120	-0.7837	-0.4047	2	203	148.324	879
121	121	0.8422	0.2089	1	203	124.6944	259
122	122	-0.4728	0.0764	3	203	163.7696	891
123	123	-0.1457	0.0889	2	203	118.855	474
124	124	-0.9117	-0.2606	2	203	101.9521	661
125	125	0.9986	-0.5845	1	203	22.7499	267
126	126	0.2033	-0.1211	1	203	111.3322	406
127	127	0.918	-0.2553	1	203	40.981	316
128	128	0.6447	-0.1046	1	203	109.1957	331
129	129	0.4072	0.4345	1	203	148.2813	852
130	130	0.6494	0.0723	1	203	127.6897	255
131	131	0.2127	-0.1625	1	203	52.6033	525
132	132	-0.6908	-0.0158	2	203	160.5646	665
133	133	1.0654	0.0625	1	203	64.6604	251
134	134	1.0911	-0.0353	1	203	76.6345	258
135	135	-0.3155	0.5131	4	203	125.1646	586
136	136	-0.2912	0.6589	4	203	116.1044	1449
137	137	-0.694	0.18	2	203	86.5881	384
138	138	0.8435	0.4084	1	203	121.932	463
139	139	0.8131	0.2905	1	203	123.695	200
140	140	-1.0681	-0.2193	2	203	138.7298	705
141	141	-0.4721	0.5883	3	203	130.5332	1055
142	142	-0.9883	-0.2782	2	203	123.8953	400
143	143	0.6787	-0.3714	1	203	78.8647	158
144	144	0.8471	0.4485	1	203	114.1352	322
145	145	-0.6937	-0.4412	2	203	133.1868	555
146	146	0.0518	0.0118	1	203	125.2052	455
147	147	-0.2449	0.315	3	203	164.6959	578
148	148	0.9194	0.4686	1	203	88.5316	314
149	149	0.9715	-0.0025	1	203	112.8056	168
150	150	-1.0736	-0.3193	2	203	133.4247	274
151	151	-1.219	-0.2769	2	203	108.3782	242
152	152	0.7152	0.0898	1	203	106.1236	467
153	153	0.765	-0.0048	1	203	111.193	185
154	154	0.1193	-0.2021	1	203	60.6005	241
155	155	-0.8422	-0.0476	2	203	81.247	459
156	156	-0.7923	-0.2772	2	203	154.4827	348
157	157	0.8719	-0.2445	1	203	76.1696	155
158	158	-0.7797	-0.1761	2	203	161.2458	495
159	159	-0.1973	0.3368	3	203	159.033	411
160	160	-0.6253	-0.3025	2	203	162.1057	386
161	161	-0.0044	0.5696	4	203	128.9643	333
162	162	-1.0209	0.1021	3	203	36.4786	281
163	163	-0.604	0.2392	3	203	125.8378	360
164	164	-1.0895	-0.1221	2	203	135.4269	235
165	165	-0.9567	-0.089	2	203	160.852	284
166	166	-0.7735	0.1929	3	203	156.2705	570
167	167	-0.1934	-0.4191	2	203	87.7583	175
168	168	-0.2344	0.524	4	203	128.3241	403
169	169	0.851	0.0919	1	203	102.1745	221
170	170	0.4612	0.0946	1	203	127.3354	188
171	171	-0.484	-0.2891	2	203	166.9526	232
172	172	0.517	0.1751	1	203	157.3744	106
173	173	-0.3944	0.3797	4	203	134.9422	335
174	174	-0.8817	-0.0338	2	203	126.9696	317
175	175	-0.358	-0.381	2	203	162.5023	403
176	176	0.1061	0.1516	1	203	141.6647	237
177	177	-0.6332	0.6296	3	203	112.3458	225
178	178	-0.3535	-0.3373	2	203	131.1617	341
179	179	1.0681	0.2483	1	203	85.5837	149
180	180	0.3172	-0.2335	1	203	75.884	263
181	181	0.7541	-0.2159	1	203	78.4168	179
182	182	0.5822	-0.0659	1	203	149.0784	113
183	183	-0.4025	-0.2694	2	203	134.016	123
