id	x	y	cluster	weight<Links>	weight<Total link strength>	label	weight<cluster total n>	weight<cluster country n>	weight<excel top10>	weight<mean percentile>	weight<share top10>	weight<share all>	weight<avg. year>	score<cluster total n>	score<cluster country n>	score<excel top10>	score<mean percentile>	score<share top10>	score<share all>	score<avg. year>
1022	0.9782	-0.081	1	203	70.3452	22_기후변화에 따른 북극새의 식생 이동과 생태 변화	1073	2	50.0000000000005	57.326666666667194	0.4152823920265827	0.1863932898415657	2007.004411764706	1073	2	50.0000000000005	57.326666666667194	0.4152823920265827	0.1863932898415657	2007.004411764706
1023	0.1224	0.0211	1	203	93.4272	23_극지 지역 화석을 이용한 지질시대의 생물분포 및 고기후 연구	701	9	0	45.61416666666672	0	1.2838801711840229	2007.8060046189375	701	9	0	45.61416666666672	0	1.2838801711840229	2007.8060046189375
1024	-0.5689	-0.2294	2	203	173.4844	24_고기후/고해양의 기후 발달 및 빙하 주기와 지질화학적 분석 연구	1832	50	12.000000000000387	39.76491894736872	1.1714174150722734	2.7292576419213974	2008.2104775150672	1832	50	12.000000000000387	39.76491894736872	1.1714174150722734	2.7292576419213974	2008.2104775150672
1025	-0.2009	-0.5779	5	203	111.2396	25_남극 극지 해류 순환 역학 모델링과 기후변화 영향	2096	23	26.086956521738152	58.89361259920533	1.0062049304041265	1.0973282442748091	2008.6803472770323	2096	23	26.086956521738152	58.89361259920533	1.0062049304041265	1.0973282442748091	2008.6803472770323
1026	-0.3783	0.2975	3	203	170.7893	26_영구동토층 탄소 기후 피드백 가속화 및 그 영향	2075	14	7.142857142857857	30.869210786587956	0.1979348794246873	0.6746987951807228	2013.793167992513	2075	14	7.142857142857857	30.869210786587956	0.1979348794246873	0.6746987951807228	2013.793167992513
1027	1.037	0.6122	4	203	18.142	27_극지 지역 주민들의 건강과 질병 연구 (트롬쇠 연구)	587	2	50.0000000000005	58.91000000000075	0.6443298969072283	0.34071550255536626	2011.3208469055376	587	2	50.0000000000005	58.91000000000075	0.6443298969072283	0.34071550255536626	2011.3208469055376
1028	0.9969	0.5844	4	203	26.7223	28_이누이트의 전통 고지방 식단과 심혈관계 질환 영향 연구	528	2	0	61.8950000000003	0	0.3787878787878788	2006.6853146853148	528	2	0	61.8950000000003	0	0.3787878787878788	2006.6853146853148
1029	-1.1842	-0.1421	2	203	133.8975	29_그린랜드 및 바렌츠해의 지질학적 진화 연구	1024	1	0	46.04499999999925	0	0.09765625	2007.3419307295505	1024	1	0	46.04499999999925	0	0.09765625	2007.3419307295505
1030	0.776	-0.3769	1	203	133.9562	30_남극 저서생물의 다양성 및 생태계  연구	1032	13	7.6923076923076925	37.25653846153861	0.4876462938881674	1.2596899224806202	2007.4876690533015	1032	13	7.6923076923076925	37.25653846153861	0.4876462938881674	1.2596899224806202	2007.4876690533015
1031	0.7512	-0.445	1	203	106.4717	31_온난화로 인한 해양생태계 변화- 대서양대구 및 열빙어의 생태 변화	1101	8	37.50000000000008	45.999746031746064	1.1135857461024539	0.7266121707538601	2008.924841772152	1101	8	37.50000000000008	45.999746031746064	1.1135857461024539	0.7266121707538601	2008.924841772152
1032	0.9663	-0.2473	1	203	106.2398	32_남극 해양포유류 생태 연구 및 개체수 보존	1313	2	0	43.79749999999846	0	0.15232292460015232	2006.4120453190221	1313	2	0	43.79749999999846	0	0.15232292460015232	2006.4120453190221
1033	-0.7596	0.4545	3	203	115.5882	33_CMIP5 지구 시스템 모델을 사용한 북극해 관찰 및 기후변화 예측	2055	93	13.978494623655957	47.09480895605388	2.6804123711340306	4.525547445255475	2015.5552311435524	2055	93	13.978494623655957	47.09480895605388	2.6804123711340306	4.525547445255475	2015.5552311435524
1034	-0.8305	-0.1178	2	203	165.1541	34_빙하에 의한 해수면 상승 가속화 및 미래 해수면 변화 예측	1235	17	5.882352941176647	43.93572829131691	0.34211426616490814	1.376518218623482	2010.261870503597	1235	17	5.882352941176647	43.93572829131691	0.34211426616490814	1.376518218623482	2010.261870503597
1035	-1.1075	-0.0675	2	203	86.0533	35_남극 운석 성분 분석과 행성 기원 및 진화 연구	622	31	16.129032258064612	49.568736559139744	3.1279324366593904	4.983922829581994	2006.7214285714285	622	31	16.129032258064612	49.568736559139744	3.1279324366593904	4.983922829581994	2006.7214285714285
1036	-0.5508	0.096	2	203	168.5498	36_홀로세 온난기후동안 북대서양 기후 변동성 및 생태 환경 영향	1332	21	4.761904761904715	42.03496031746067	0.24891101431238116	1.5765765765765765	2009.5986254295533	1332	21	4.761904761904715	42.03496031746067	0.24891101431238116	1.5765765765765765	2009.5986254295533
1037	0.6732	-0.4565	1	203	129.5241	37_극지 지역 조개류 생태계 연구	592	9	11.111111111111333	55.07500000000015	0.8688097306690002	1.5202702702702704	2006.1108280254778	592	9	11.111111111111333	55.07500000000015	0.8688097306690002	1.5202702702702704	2006.1108280254778
1038	1.008	-0.0668	1	203	96.9177	38_기후변화로 인한 북극여우의 생태 변동 연구	579	1	0	57.4699999999989	0	0.17271157167530224	2007.1875	579	1	0	57.4699999999989	0	0.17271157167530224	2007.1875
1039	-0.9701	-0.0221	2	203	133.1412	39_빙상 역학 이론 및 지역 사례 연구	1778	2	49.999999999999	75.35928571428455	0.3312433455577834	0.11248593925759282	2006.264466352336	1778	2	49.999999999999	75.35928571428455	0.3312433455577834	0.11248593925759282	2006.264466352336
1040	0.7266	-0.2866	1	203	131.5344	40_극지 해양생태계에서 고래 생태 연구와 기후변화 영향	1070	3	0	50.8673333333333	0	0.2803738317757009	2009.7102272727273	1070	3	0	50.8673333333333	0	0.2803738317757009	2009.7102272727273
1041	0.5159	-0.3682	1	203	133.6912	41_기후변화로 인한 해양의 미생물 바이오매스, 용존유기물질 등의 변동에서 플랑크톤의 영향 연구	750	33	10.909090909090827	56.32654761904736	2.324830481110733	4.3999999999999995	2004.9362657091563	750	33	10.909090909090827	56.32654761904736	2.324830481110733	4.3999999999999995	2004.9362657091563
1042	-1.0543	-0.2625	2	203	122.579	42_극지 지역의 맨틀, 해령 관측 및 맨틀 대류 모형 연구	778	19	10.52631578947381	39.17787593984973	1.2430080795525325	2.442159383033419	2005.5512021371326	778	19	10.52631578947381	39.17787593984973	1.2430080795525325	2.442159383033419	2005.5512021371326
1043	0.5479	-0.6007	1	203	120.2936	43_북극 동물성 플랑크톤  및 식물성 플랑크톤의 섭식 및 생태 연구	1254	14	0	43.779265306122376	0	1.1164274322169059	2006.5553482587065	1254	14	0	43.779265306122376	0	1.1164274322169059	2006.5553482587065
1044	0.4133	0.4547	4	203	90.2586	44_기후변화에 대응한 북극 원주민 공동체의 적응에 대한 조사 및 관리방안 연구	833	0	0	0	0	0	2011.7272727272727	833	0	0	0	0	0	2011.7272727272727
1045	-0.8118	0.5681	3	203	83.9125	45_북극 구름 및 대기 측정과 미세물리학 연구	1244	13	15.384615384615193	53.884908424907984	0.8208495793145822	1.045016077170418	2009.2058414464534	1244	13	15.384615384615193	53.884908424907984	0.8208495793145822	1.045016077170418	2009.2058414464534
1046	0.8364	0.2346	1	203	70.3715	46_극지지역에서 새로운 미생물의 발견 및 저온성 효소 등의 특성 및 활용에 대한 연구	599	11	0	36.156060606060656	0	1.8363939899833055	2010.5744047619048	599	11	0	36.156060606060656	0	1.8363939899833055	2010.5744047619048
1047	-0.7427	-0.2285	2	203	131.7471	47_극지 지역에서 페름-트라이아스 대멸종 등 고생대의 전지구적 변동의 증거에 대한 연구	520	7	0	31.98918367346946	0	1.3461538461538463	2007.860681114551	520	7	0	31.98918367346946	0	1.3461538461538463	2007.860681114551
1048	0.7475	-0.1518	1	203	135.7234	48_남극 어류의 다양성과 분자 계통 및 진화 연구	770	21	23.809523809524	57.018341269841464	3.5748331744518933	2.727272727272727	2006.9832460732985	770	21	23.809523809524	57.018341269841464	3.5748331744518933	2.727272727272727	2006.9832460732985
1049	0.5549	0.3381	4	203	76.8974	49_아메리카 원주민(이누이트, 에스키모)의 기원 및 진화 연구	416	3	0	41.573750000000025	0	0.7211538461538461	2008.9782608695652	416	3	0	41.573750000000025	0	0.7211538461538461	2008.9782608695652
1050	-0.0467	-0.1329	2	203	111.2261	50_극지 생태계 진화 연구	460	0	0	0	0	0	2010.3468208092486	460	0	0	0	0	0	2010.3468208092486
1051	1.0325	-0.04	1	203	88.2734	51_극지지역 절지동물의 저온 적응 기작 연구	483	6	0	43.9404166666669	0	1.2422360248447204	2005.2309899569584	483	6	0	43.9404166666669	0	1.2422360248447204	2005.2309899569584
1052	-0.2194	-0.1028	5	203	187.8203	52_기후변화로 인한 극지지역 용존유기물질/탄소 변동의 측정과 분석	973	26	7.692307692307635	47.26526648351654	0.9857072449482436	2.672147995889003	2011.6754901960785	973	26	7.692307692307635	47.26526648351654	0.9857072449482436	2.672147995889003	2011.6754901960785
1053	-0.8919	0.1175	2	203	131.4913	53_영구동토층 암석 빙하 지형학적 분석 및 기후 영향 평가	1216	4	25.00000000000075	30.998750000000825	0.46224961479200183	0.3289473684210526	2009.4830569574622	1216	4	25.00000000000075	30.998750000000825	0.46224961479200183	0.3289473684210526	2009.4830569574622
1054	0.7254	0.0661	1	203	101.4826	54_바이오마커 접근법에 의한 해양 오염 모니터링 및 영향 분석	425	59	5.9322033898304936	47.83604519774011	4.2918454935622234	13.882352941176471	2008.8682170542636	425	59	5.9322033898304936	47.83604519774011	4.2918454935622234	13.882352941176471	2008.8682170542636
1055	0.6071	0.0484	1	203	132.2258	55_외래종의 남극 생태계 영향 연구	680	12	8.333333333333332	52.55736111111108	0.5058595396678179	1.7647058823529411	2009.2800511508951	680	12	8.333333333333332	52.55736111111108	0.5058595396678179	1.7647058823529411	2009.2800511508951
1056	-0.8453	0.538	3	203	81.2892	56_남반구 기후 변동성 및 지역 기후 모델의 진화	1067	23	4.3478260869566085	33.84034722222227	0.4777830864787484	2.1555763823805063	2005.3759946949601	1067	23	4.3478260869566085	33.84034722222227	0.4777830864787484	2.1555763823805063	2005.3759946949601
1057	-1.1438	-0.2127	2	203	67.1835	57_극지 지역 희토류 원소 등의 광물자원 분석	695	3	0	52.86666666666683	0	0.4316546762589928	2007.296928327645	695	3	0	52.86666666666683	0	0.4316546762589928	2007.296928327645
